PlayerId,Position,OfficialName,Team,GamesPlayedTotal,MinutesTotal,SecondsTotal,PointsTotal,FieldGoals2PointsMadeTotal,FieldGoals2PointsAttemptedTotal,FieldGoals3PointsMadeTotal,FieldGoals3PointsAttemptedTotal,FreeThrowsMadeTotal,FreeThrowsAttemptedTotal,OffensiveReboundsTotal,DefensiveReboundsTotal,BlocksTotal,AssistsTotal,TurnOversTotal,StealsTotal,PersonalFoulsTotal,Efficiency,PlusMinus,DoubleDoubles,TripleDoubles,ReboundsTotal
147607,Point Guard,Milica Deura,BIH,5,104,6280,18,5,16,1,8,5,6,2,7,0,9,10,0,2,7.0,-89,0,0,9
175350,Center,Jonquel Jones,BIH,5,128,7680,68,22,42,4,10,12,15,9,35,0,10,22,4,12,75.0,-91,0,0,44
205195,Shooting Guard,Andjela Delic,BIH,5,89,5340,24,5,15,4,14,2,4,2,4,2,5,5,4,12,14.0,-100,0,0,6
205209,Shooting Guard,Nikolina Delic,BIH,5,59,3552,7,2,6,1,3,0,2,4,5,0,2,7,0,7,3.0,-74,0,0,9
205193,Guard,Nikolina Babic,BIH,5,122,7331,40,12,26,4,16,4,4,0,12,0,6,8,4,6,28.0,-103,0,0,12
168060,Point Guard,Miljana Dzombeta,BIH,5,90,5430,26,7,21,4,11,0,0,1,1,0,10,4,3,3,16.0,-88,0,0,2
147603,Shooting Guard,Matea Tavic,BIH,5,144,8670,44,12,28,5,25,5,7,4,7,0,13,15,5,6,20.0,-142,0,0,11
226535,Guard,Dragana Domuzin,BIH,5,46,2807,8,4,15,0,4,0,0,5,4,0,1,5,2,2,0.0,-64,0,0,9
168066,Power Forward,Nikolina Dzebo,BIH,5,159,9576,48,12,22,6,18,6,8,5,19,0,9,8,2,12,51.0,-148,0,0,24
205198,Center,Jovana Markovic,BIH,5,41,2495,6,3,7,0,0,0,0,2,3,2,1,3,1,6,8.0,-61,0,0,5
256374,Center,Shakira Austin,USA,7,91,5507,60,22,41,0,0,16,19,14,20,6,7,7,3,8,81.0,74,1,0,34
215667,Guard,Chelsea Gray,USA,6,117,7033,55,14,21,8,17,3,3,0,14,0,32,7,8,2,86.0,116,0,0,14
203518,Guard,Sabrina Ionescu,USA,7,89,5379,21,2,9,4,13,5,6,6,15,0,14,7,2,3,34.0,81,0,0,21
198312,Guard,Kelsey Plum,USA,6,140,8449,95,20,32,12,30,19,21,2,9,0,25,9,3,11,93.0,163,0,0,11
181625,Guard,Jewell Loyd,USA,7,162,9773,59,9,27,11,29,8,9,2,9,0,12,9,6,8,42.0,150,0,0,11
212115,Guard,Ariel Atkins,USA,8,139,8372,44,10,22,7,17,3,4,4,9,6,21,8,12,14,65.0,162,0,0,13
228813,Forward,Kahleah Copper,USA,6,111,6660,57,17,28,5,12,8,15,3,22,2,10,5,7,5,71.0,123,0,0,25
176575,Power Forward,Breanna  Stewart,USA,8,179,10773,102,26,57,13,30,11,14,12,41,11,24,6,10,7,143.0,154,0,0,53
202993,Forward,A'Ja  Wilson,USA,6,129,7755,103,41,62,0,0,21,22,15,30,8,4,4,13,7,147.0,133,1,0,45
181930,Power Forward,Alyssa Thomas,USA,8,184,11062,79,33,51,0,0,13,16,21,35,4,34,11,19,8,160.0,196,1,0,56
239832,Center,Brionna Jones,USA,7,132,7928,73,31,49,0,0,11,12,14,25,3,11,7,7,12,107.0,153,0,0,39
176569,Guard,Betnijah Laney,USA,8,121,7309,42,9,24,5,10,9,13,4,16,0,14,11,4,5,45.0,125,0,0,20
149336,Forward,Meiya Tirera,MLI,4,41,2478,11,1,9,1,6,6,6,0,3,1,1,2,0,3,1.0,-64,0,0,3
224434,Power Forward,Sika Kone,MLI,5,169,10148,60,20,48,3,13,11,17,23,36,2,12,17,2,11,74.0,-94,4,0,59
170293,Point Guard,Touty Gandega,MLI,5,68,4123,9,3,8,1,10,0,0,0,7,0,4,7,4,4,3.0,-74,0,0,7
271074,Power Forward,Maimouna Haidara,MLI,5,118,7117,25,7,26,3,14,2,4,7,20,3,12,18,5,12,22.0,-79,0,0,27
271080,Forward,Kamite Elisabeth Dabou,MLI,5,45,2749,21,3,16,4,15,3,5,3,2,0,0,1,1,1,0.0,-31,0,0,5
196635,Point Guard,Djeneba N'Diaye,MLI,5,138,8319,58,9,26,10,33,10,15,2,9,1,8,8,8,8,33.0,-69,0,0,11
