PlayerId,PlayerLink,ShirtNumber,Position,OfficialName,LastName,GamesPlayedTotal,MinutesTotal,SecondsTotal,PointsTotal,FieldGoals2PointsMadeTotal,FieldGoals2PointsAttemptedTotal,FieldGoals3PointsMadeTotal,FieldGoals3PointsAttemptedTotal,FreeThrowsMadeTotal,FreeThrowsAttemptedTotal,OffensiveReboundsTotal,DefensiveReboundsTotal,BlocksTotal,AssistsTotal,TurnOversTotal,StealsTotal,PersonalFoulsTotal,Efficiency,PlusMinus,DoubleDoubles,TripleDoubles
147607,/womensbasketballworldcup/2022/player/Milica-Deura,N/A,Point Guard,Milica Deura (BIH),Deura,5,104,6280,18,5,16,1,8,5,6,2,7,0,9,10,0,2,7,-89,0,0
175350,/womensbasketballworldcup/2022/player/Jonquel-Jones,N/A,Center,Jonquel Jones (BIH),Jones,5,128,7680,68,22,42,4,10,12,15,9,35,0,10,22,4,12,75,-91,0,0
205195,/womensbasketballworldcup/2022/player/Andjela-Delic,N/A,Shooting Guard,Andjela Delic (BIH),Delic,5,89,5340,24,5,15,4,14,2,4,2,4,2,5,5,4,12,14,-100,0,0
205209,/womensbasketballworldcup/2022/player/Nikolina-Delic,N/A,Shooting Guard,Nikolina Delic (BIH),Delic,5,59,3552,7,2,6,1,3,0,2,4,5,0,2,7,0,7,3,-74,0,0
205193,/womensbasketballworldcup/2022/player/Nikolina-Babic,N/A,Guard,Nikolina Babic (BIH),Babic,5,122,7331,40,12,26,4,16,4,4,0,12,0,6,8,4,6,28,-103,0,0
168060,/womensbasketballworldcup/2022/player/Miljana-Dzombeta,N/A,Point Guard,Miljana Dzombeta (BIH),Dzombeta,5,90,5430,26,7,21,4,11,0,0,1,1,0,10,4,3,3,16,-88,0,0
147603,/womensbasketballworldcup/2022/player/Matea-Tavic,N/A,Shooting Guard,Matea Tavic (BIH),Tavic,5,144,8670,44,12,28,5,25,5,7,4,7,0,13,15,5,6,20,-142,0,0
226535,/womensbasketballworldcup/2022/player/Dragana-Domuzin,N/A,Guard,Dragana Domuzin (BIH),Domuzin,5,46,2807,8,4,15,0,4,0,0,5,4,0,1,5,2,2,0,-64,0,0
168066,/womensbasketballworldcup/2022/player/Nikolina-Dzebo,N/A,Power Forward,Nikolina Dzebo (BIH),Dzebo,5,159,9576,48,12,22,6,18,6,8,5,19,0,9,8,2,12,51,-148,0,0
205198,/womensbasketballworldcup/2022/player/Jovana-Markovic,N/A,Center,Jovana Markovic (BIH),Markovic,5,41,2495,6,3,7,0,0,0,0,2,3,2,1,3,1,6,8,-61,0,0
256374,/womensbasketballworldcup/2022/player/Shakira-Austin,N/A,Center,Shakira Austin (USA),Austin,7,91,5507,60,22,41,0,0,16,19,14,20,6,7,7,3,8,81,74,1,0
215667,/womensbasketballworldcup/2022/player/Chelsea-Gray,N/A,Guard,Chelsea Gray (USA),Gray,6,117,7033,55,14,21,8,17,3,3,0,14,0,32,7,8,2,86,116,0,0
203518,/womensbasketballworldcup/2022/player/Sabrina-Ionescu,N/A,Guard,Sabrina Ionescu (USA),Ionescu,7,89,5379,21,2,9,4,13,5,6,6,15,0,14,7,2,3,34,81,0,0
198312,/womensbasketballworldcup/2022/player/Kelsey-Plum,N/A,Guard,Kelsey Plum (USA),Plum,6,140,8449,95,20,32,12,30,19,21,2,9,0,25,9,3,11,93,163,0,0
181625,/womensbasketballworldcup/2022/player/Jewell-Loyd,N/A,Guard,Jewell Loyd (USA),Loyd,7,162,9773,59,9,27,11,29,8,9,2,9,0,12,9,6,8,42,150,0,0
212115,/womensbasketballworldcup/2022/player/Ariel-Atkins,N/A,Guard,Ariel Atkins (USA),Atkins,8,139,8372,44,10,22,7,17,3,4,4,9,6,21,8,12,14,65,162,0,0
228813,/womensbasketballworldcup/2022/player/Kahleah-Copper,N/A,Forward,Kahleah Copper (USA),Copper,6,111,6660,57,17,28,5,12,8,15,3,22,2,10,5,7,5,71,123,0,0
176575,/womensbasketballworldcup/2022/player/Breanna-Stewart,N/A,Power Forward,Breanna  Stewart (USA),Stewart,8,179,10773,102,26,57,13,30,11,14,12,41,11,24,6,10,7,143,154,0,0
202993,/womensbasketballworldcup/2022/player/A-Ja-Wilson,N/A,Forward,A'Ja  Wilson (USA),Wilson,6,129,7755,103,41,62,0,0,21,22,15,30,8,4,4,13,7,147,133,1,0
181930,/womensbasketballworldcup/2022/player/Alyssa-Thomas,N/A,Power Forward,Alyssa Thomas (USA),Thomas,8,184,11062,79,33,51,0,0,13,16,21,35,4,34,11,19,8,160,196,1,0
239832,/womensbasketballworldcup/2022/player/Brionna-Jones,N/A,Center,Brionna Jones (USA),Jones,7,132,7928,73,31,49,0,0,11,12,14,25,3,11,7,7,12,107,153,0,0
176569,/womensbasketballworldcup/2022/player/Betnijah-Laney,N/A,Guard,Betnijah Laney (USA),Laney,8,121,7309,42,9,24,5,10,9,13,4,16,0,14,11,4,5,45,125,0,0
149336,/womensbasketballworldcup/2022/player/Meiya-Tirera,N/A,Forward,Meiya Tirera (MLI),Tirera,4,41,2478,11,1,9,1,6,6,6,0,3,1,1,2,0,3,1,-64,0,0
224434,/womensbasketballworldcup/2022/player/Sika-Kone,N/A,Power Forward,Sika Kone (MLI),Kone,5,169,10148,60,20,48,3,13,11,17,23,36,2,12,17,2,11,74,-94,4,0
170293,/womensbasketballworldcup/2022/player/Touty-Gandega,N/A,Point Guard,Touty Gandega (MLI),Gandega,5,68,4123,9,3,8,1,10,0,0,0,7,0,4,7,4,4,3,-74,0,0
271074,/womensbasketballworldcup/2022/player/Maimouna-Haidara,N/A,Power Forward,Maimouna Haidara (MLI),Haidara,5,118,7117,25,7,26,3,14,2,4,7,20,3,12,18,5,12,22,-79,0,0
271080,/womensbasketballworldcup/2022/player/Kamite-Elisabeth-Dabou,N/A,Forward,Kamite Elisabeth Dabou (MLI),Dabou,5,45,2749,21,3,16,4,15,3,5,3,2,0,0,1,1,1,0,-31,0,0
196635,/womensbasketballworldcup/2022/player/Djeneba-N-Diaye,N/A,Point Guard,Djeneba N'Diaye (MLI),N'Diaye,5,138,8319,58,9,26,10,33,10,15,2,9,1,8,8,8,8,33,-69,0,0
224432,/womensbasketballworldcup/2022/player/Alima-Dembele,N/A,Guard, Alima Dembele (MLI),Dembele,5,113,6812,39,14,28,2,10,5,6,4,5,1,7,2,6,11,37,-80,0,0
161384,/womensbasketballworldcup/2022/player/Kankou-Coulibaly,N/A,Forward,Kankou Coulibaly (MLI),Coulibaly,5,89,5398,38,5,14,7,14,7,9,4,6,1,4,11,1,10,25,-47,0,0
210143,/womensbasketballworldcup/2022/player/Diana-Balayera,N/A,Center,Diana Balayera (MLI),Balayera,5,97,5871,15,6,12,1,3,0,0,5,14,9,4,1,4,8,42,-82,0,0
